ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:cdnetworks	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	CDNetworks	98	573	223	616
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:cachefly	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	CacheFly	98	1114	292	825
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:chinacache	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	ChinaCache	97	1276	414	2433
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:cloudfront	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Cloudfront	98	893	282	1463
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:cotendo	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Cotendo	97	768	362	1334
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:edgecast	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Edgecast	99	474	201	1748
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:facebook	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Facebook	81	571	341	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:gogrid	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	GoGrid	97	883	413	2698
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:google_app_engine	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Google App Engine	97	766	494	852
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:highwinds	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Highwinds	89	688	672	1831
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:internap	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Internap	97	736	224	1927
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:internode	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Internode	98	705	386	2270
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:joyent	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Joyent	97	1343	443	2165
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:level3	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Level3	97	854	375	1856
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:limelight	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Limelight	5	765	437	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:msn	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	MSN	97	836	421	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:maxcdn	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	MaxCDN	83	981	356	788
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:microsoft_azure	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Microsoft Azure	97	1084	407	2247
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:ngenix	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Ngenix	98	960	284	2000
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:nirvanix	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Nirvanix	0	422	1845	
