key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Lincoln Journal-Star	McCain		Bush									NE	Lincoln	Lincoln Journal-Star
North Platte Telegraph			Bush									NE	North Platte	North Platte Telegraph
Palm Beach Post	Obama	Kerry	Gore	Clinton								FL	West Palm Beach	Palm Beach Post
Jacksonville Journal-Courier				Dole								IL	Jacksonville	Jacksonville Journal-Courier
Cincinnati Enquirer	McCain	Bush	Bush	Dole								OH	Cincinnati	Cincinnati Enquirer
Washington Times			Bush	Dole								DC	Washington	Washington Times
(Stockton) Record		Bush										CA	Stockton	(Stockton) Record
Sioux City Journal	McCain											IA	Sioux City	Sioux City Journal
Morning Star			Gore									NC	Wilmington	Morning Star
Salt Lake Tribune	Obama	Bush										UT	Salt Lake City	Salt Lake Tribune
Post and Courier			Bush									SC	Charleston	Post and Courier
Roanoke Times			Gore									VA	Roanoke	Roanoke Times
Gainesville Daily Register				Dole								TX	Gainesville	Gainesville Daily Register
St. Petersburg Times	Obama	Kerry	Gore									FL	St. Petersburg	St. Petersburg Times
Philadelphia Inquirer	Obama	Kerry	Gore	Clinton								PA	Philadelphia	Philadelphia Inquirer
Athens Daily News				Dole								GA	Athens	Athens Daily News
Las Vegas Sun	Obama	Kerry	Gore	Clinton								NV	Las Vegas	Las Vegas Sun
Richmond Times-Dispach												VA	Richmond	Richmond Times-Dispach
Paris Post Intelligencer				Clinton								TN	Paris	Paris Post Intelligencer
San Diego Union-Tribune	McCain	Bush	Bush									CA	San Diego	San Diego Union-Tribune
Journal	McCain	Bush										MN	New Ulm	Journal
Sun (Lowell)	McCain	Bush	Bush									MA	Lowell	Sun (Lowell)
Evansville Courier and Press			Bush	Dole								IN	Evansville	Evansville Courier and Press
Elk City Daily News				Clinton								OK	Elk City	Elk City Daily News
Galesburg Register-Mail	Obama											IL	Galesburg	Galesburg Register-Mail
Mobile Register			Bush									AL	Mobile	Mobile Register
Wilkes-Barre Citizens' Voice				Clinton								PA	Wilkes-Barre	Wilkes-Barre Citizens' Voice
Virginian Pilot												VA	Norfolk	Virginian Pilot
Las Vegas Review-Journal	McCain	Bush	Bush	Dole								NV	Las Vegas	Las Vegas Review-Journal
Southwest Times Record			Bush									AR	Fort Smith	Southwest Times Record
Red Wing Republican Eagle				Dole								MN	Red Wing	Red Wing Republican Eagle
St. Cloud Times	Obama	Kerry										MN	St. Cloud	St. Cloud Times
Blade	Obama	Kerry	Gore									OH	Toledo	Blade
Capital Times	Obama	Kerry	Gore									WI	Madison	Capital Times
Kansas City Star	Obama	Kerry	Gore	Dole								MO	Kansas City	Kansas City Star
Journal Star			Bush									IL	Peoria	Journal Star
Ottawa Herald				Clinton								KS	Ottawa	Ottawa Herald
Syracuse Post-Standard	Obama											NY	Syracuse	Syracuse Post-Standard
Argus	Obama	Kerry										CA	Fremont	Argus
Norfolk Daily News	McCain		Bush	Dole								NE	Norfolk	Norfolk Daily News
Key West Citizen				Clinton								FL	Key West	Key West Citizen
Durango Herald	Obama	Kerry										CO	Durango	Durango Herald
Birmingham Post-Herald			Bush									AL	Birmingham Post	Birmingham Post-Herald
Scranton Times Tribune-Review			Bush									PA	Greensburg	Scranton Times Tribune-Review
Casa Grande Dispatch				Dole								AZ	Casa Grande	Casa Grande Dispatch
Seattle Post-Intelligencer	Obama	Kerry	Gore	Clinton								WA	Seattle	Seattle Post-Intelligencer
Flint Journal			Bush									MI	Flint	Flint Journal
San Bernardino Sun	Obama	Bush										CA	San Bernardino	San Bernardino Sun
Longview News-Journal	Obama	Kerry	Gore									TX	Longview	Longview News-Journal
Selma Times-Journal				Dole								AL	Selma	Selma Times-Journal
Pendleton East Oregonian				Clinton								OR	Pendleton	Pendleton East Oregonian
Duluth News-Tribune			Gore									MN	Duluth	Duluth News-Tribune
Southwest News-Herald	Obama	Kerry										IL	Chicago	Southwest News-Herald
Idaho Press-Tribune			Bush									ID	Nampa	Idaho Press-Tribune
Journal Times			Gore									WI	Racine	Journal Times
Ouray County Plaindealer	Obama	Kerry										CO	Ouray County	Ouray County Plaindealer
Denver Rocky Mountain News			Bush									CO	Denver	Denver Rocky Mountain News
Norwich Bulletin	Obama			Dole								CT	Norwich	Norwich Bulletin
Parkersburg News				Dole								WV	Parkersburg	Parkersburg News
Benton Courier				Clinton								AR	Benton	Benton Courier
Shawnee News-Star			Bush									OK	Shawnee	Shawnee News-Star
Green Bay Press Gazette	McCain		Bush									WI	Green Bay	Green Bay Press Gazette
Tribune Chronicle			Bush									OH	Warren	Tribune Chronicle
Harrison Daily Times				Clinton								AR	Harrison	Harrison Daily Times
State	McCain	Bush	Bush									SC	Columbia	State
Record-Journal			Gore									CT	Meriden	Record-Journal
Foster's Daily Democrat	McCain	Bush	Bush	Dole								NH	Dover	Foster's Daily Democrat
Wilmington Star-News	Obama	Kerry										NC	Wilmington	Wilmington Star-News
Stuart News			Bush									FL	Stuart	Stuart News
West Plains Daily Quill				Clinton								MO	West Plains	West Plains Daily Quill
Cape Coral Daily Breeze	McCain											FL	Cape Coral	Cape Coral Daily Breeze
Daily Herald	Obama	Kerry	Bush									IL	Arlington Heights	Daily Herald
Fargo Forum	McCain	Bush		Dole								ND	Fargo	Fargo Forum
Winchester Star	McCain	Bush										VA	Winchester	Winchester Star
Winston-Salem Journal			Bush									NC	Winston-Salem	Winston-Salem Journal
Oshkosh Northwestern				Dole								WI	Oshkosh	Oshkosh Northwestern
Macomb Daily			Gore									MI	Macomb	Macomb Daily
Asheboro Courier-Tribune				Dole								NC	Asheboro	Asheboro Courier-Tribune
Virginian-Pilot			Gore									VA	Norfolk	Virginian-Pilot
Lodi News-Sentinel				Dole								CA	Lodi	Lodi News-Sentinel
Oregonian	Obama	Kerry	Bush	Clinton								OR	Portland	Oregonian
Russell Daily News				Dole								KS	Russell	Russell Daily News
Murray Ledger Times				Dole								KY	Murray	Murray Ledger Times
Morning Call		Kerry	Bush									PA	Allentown	Morning Call
Edinburg Daily Review				Clinton								TX	Edinburg	Edinburg Daily Review
Kingsport Daily News				Dole								TN	Kingsport	Kingsport Daily News
Vicksburg Post				Dole								MS	Vicksburg	Vicksburg Post
Observer-Reporter	Obama											PA	Washington	Observer-Reporter
Cortez Journal	Obama	Kerry										CO	Cortez	Cortez Journal
Sumter Item				Dole								SC	Sumter	Sumter Item
Herald-Dispatch			Gore									WV	Huntington	Herald-Dispatch
Courier-Post			Bush									NJ	Cherry Hill	Courier-Post
Uniontown Herald Standard				Clinton								PA	Uniontown	Uniontown Herald Standard
Lubbock Avalanche-Journal	McCain	Bush	Bush	Dole								TX	Lubbock	Lubbock Avalanche-Journal
Observer-Dispatch			Bush									NY	Utica	Observer-Dispatch
Vail Daily	Obama											CO	Vail	Vail Daily
Winnemucca Humbolt Sun				Clinton								NV	Winnemucca	Winnemucca Humbolt Sun
Springfield Union News				Clinton								MA	Springfield	Springfield Union News
Plain Dealer	Obama	none	Bush	Clinton								OH	Cleveland	Plain Dealer
Pasadena Star-News	Obama	Bush	Bush									CA	Pasadena	Pasadena Star-News
Delaware County Daily Times			Bush	Dole								PA	Primos	Delaware County Daily Times
Day of New London				Dole								CT	New London	Day of New London
Bangor Daily News	Obama	Kerry	Bush									ME	Bangor	Bangor Daily News
News Journal	Obama	Kerry	Gore									DE	Wilmington	News Journal
Gunnison Country Times	Obama	none										CO	Gunnison	Gunnison Country Times
Sun		Kerry	Gore									MD	Baltimore	Sun
Modesto Bee	Obama	Kerry	Gore	Clinton								CA	Modesto	Modesto Bee
Hartford Courant	Obama		Bush	Clinton								CT	Hartford	Hartford Courant
Wheeling News-Register	McCain	Bush										WV	Wheeling	Wheeling News-Register
Forum			Bush									ND	Fargo	Forum
Capital			Bush									MD	Annapolis	Capital
Birmingham News		Bush	Bush									AL	Birmingham	Birmingham News
Dallas Morning News	McCain	Bush	Bush	Dole								TX	Dallas	Dallas Morning News
Albuquerque Tribune			Bush	Dole								NM	Albuquerque	Albuquerque Tribune
Arkansas Times												AR	Little Rock	Arkansas Times
(Spokane) Spokesman-Review	McCain	Bush										WA	Spokane	(Spokane) Spokesman-Review
Edmond Evening Sun				Dole								OK	Edmond	Edmond Evening Sun
Wilkes-Barre Times Leader				Clinton								PA	Wilkes-Barre	Wilkes-Barre Times Leader
Advertiser			Bush									LA	Lafayette	Advertiser
Press Journal			Bush									FL	Vero Beach	Press Journal
Marshalltown Times-Republican	McCain			Dole								IA	Marshalltown	Marshalltown Times-Republican
Shreveport Times	Obama			Clinton								LA	Shreveport	Shreveport Times
Waynesboro News-Virginian	McCain											VA	Waynesboro	Waynesboro News-Virginian
Lansing State-Journal	Obama		Gore									MI	Lansing	Lansing State-Journal
Beloit Daily News				Dole								WI	Beloit	Beloit Daily News
Amarillo Daily News				Dole								TX	Amarillo	Amarillo Daily News
Yakima Herald-Republic	Obama	Bush										WA	Yakima	Yakima Herald-Republic
Centre Daily Times			Gore									PA	State College	Centre Daily Times
Finger Lakes Times				Dole								NY	Finger Lakes	Finger Lakes Times
San Mateo Daily Journal	Obama											CA	San Mateo	San Mateo Daily Journal
Seattle Times	Obama	Kerry	Bush	Clinton								WA	Seattle	Seattle Times
Gadsden Times			Bush	Dole								AL	Gadsden	Gadsden Times
Bergen Record	Obama											NJ	Bergen	Bergen Record
Investor's Business Daily												CA	Los Angeles	Investor's Business Daily
Virginia Gazette												VA	Williamsburg	Virginia Gazette
Albany Herald				Dole								GA	Albany	Albany Herald
Bristol Herald Courier	McCain											VA	Bristol	Bristol Herald Courier
Record		Kerry	Gore	Clinton								NJ	Hackensack	Record
Winter Haven News Chief				Dole								FL	Winter Haven	Winter Haven News Chief
Clarksdale Press-Register				Dole								MS	Clarksdale	Clarksdale Press-Register
Holdrege Daily Citizen				Dole								NE	Holdrege	Holdrege Daily Citizen
Press-Telegram			Gore									CA	Long Beach	Press-Telegram
Wichita Eagle			Bush	Dole								KS	Wichita Eagle	Wichita Eagle
Tennessean	Obama	Kerry	Gore	Clinton								TN	Nashville	Tennessean
Arkansas Democrat-Gazette		Bush	Bush									AR	Little Rock	Arkansas Democrat-Gazette
Washington Post	Obama	Kerry	Gore									DC	Washington	Washington Post
Boston Herald	McCain	Bush	Bush	Dole								MA	Boston	Boston Herald
Greenville News				Dole								SC	Greenville	Greenville News
Sante Fe New Mexican			Gore									NM	Sante Fe	Sante Fe New Mexican
Press Democrat			Gore									CA	Santa Rosa	Press Democrat
Wenatchee World	Obama											WA	Wenatchee	Wenatchee World
Fremont Tribune				Clinton								NE	Fremont	Fremont Tribune
Post-Standard												NY	Syracuse	Post-Standard
Jonesboro Sun				Clinton								AR	Jonesboro	Jonesboro Sun
Grand Rapids Press	McCain		Bush									MI	Grand Rapids	Grand Rapids Press
North County Times	McCain		Bush									CA	Escondido	North County Times
Warrensburg Daily Star-Journal				Dole								MO	Warrensburg-Journal	Warrensburg Daily Star-Journal
Savannah Morning News			Bush	Dole								GA	Savannah	Savannah Morning News
Jackson Sun	McCain	Kerry		Clinton								TN	Jackson	Jackson Sun
Owensboro Messenger-Inquirer			Bush									KY	Owensboro	Owensboro Messenger-Inquirer
Chanute Tribune				Dole								KS	Chanute	Chanute Tribune
Corpus Christi Caller-Times	McCain	Kerry	Bush	Dole								TX	Corpus Christi	Corpus Christi Caller-Times
Decatur Daily				Clinton								AL	Decatur	Decatur Daily
News Tribune	Obama	Kerry	Gore									WA	Tacoma	News Tribune
Olympian	Obama	Kerry										WA	Olympia	Olympian
Harrisburg Patriot-News	Obama											PA	Harrisburg	Harrisburg Patriot-News
Atlanta Journal-Constitution	Obama	Kerry	Gore									GA	Atlanta	Atlanta Journal-Constitution
Times-Reporter	Obama	Bush										OH	New Philadelphia	Times-Reporter
