key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	metro	pop
Oakland Tribune	Obama	Kerry		Clinton	Clinton		96535			37.8043722	-122.2708026	CA	Oakland	Oakland Tribune	"#<struct CityMetro st=""CA"", city=""Oakland"", fips_state=""06"", fips_place=""53000"", cbsa_code=""41860"", metro_name=""San Francisco-Oakland-Fremont, CA MSA"", metro_stature=""MSA"", pop_2007=4203898, pop_2000=4123747, pop_rank=12, pop_chg_pct_00_07=1.94, pop_chg_pct_avg=0.28, pop_at_or_above=87970376, pop_aoa_pct=28.8, metro_st=""CA"", metro_nickname=""Bay Area, Northern California"", csa_name=""San Jose-San Francisco-Oakland, CA CSA"">"	399484
USA Today						1	2284219	2284219	0			""	""	USA Today	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	
Pasadena Star News	Obama	Bush	Bush				27894			34.1477849	-118.1445155	CA	Pasadena	Pasadena Star News	"#<struct CityMetro st=""CA"", city=""Pasadena"", fips_state=""06"", fips_place=""56000"", cbsa_code=""31100"", metro_name=""Los Angeles-Long Beach-Santa Ana, CA MSA"", metro_stature=""MSA"", pop_2007=12875587, pop_2000=12365627, pop_rank=2, pop_chg_pct_00_07=4.12, pop_chg_pct_avg=0.59, pop_at_or_above=31691575, pop_aoa_pct=10.4, metro_st=""CA"", metro_nickname=""Greater Los Angeles, The Southland"", csa_name=""Los Angeles-Long Beach-Riverside, CA CSA"">"	144618
News Times			Gore							41.394817	-73.4540111	CT	Danbury	News Times	"#<struct CityMetro st=""CT"", city=""Danbury"", fips_state=""09"", fips_place=""18430"", cbsa_code=""14860"", metro_name=""Bridgeport-Stamford-Norwalk, CT MSA"", metro_stature=""MSA"", pop_2007=895015, pop_2000=882567, pop_rank=56, pop_chg_pct_00_07=1.41, pop_chg_pct_avg=0.2, pop_at_or_above=168337219, pop_aoa_pct=55.2, metro_st=""CT"", metro_nickname=""Fairfield County"", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"	78565
Lufkin Daily News	Obama	Kerry			Clinton		12225			31.3382406	-94.729097	TX	Lufkin	Lufkin Daily News	"#<struct CityMetro st=""TX"", city=""Lufkin"", fips_state=""48"", fips_place=""45072"", cbsa_code=""31260"", metro_name=""Lufkin, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	33667
San Francisco Examiner	McCain	Bush	Gore	Clinton	Clinton		80000			37.7749295	-122.4194155	CA	San Francisco	San Francisco Examiner	"#<struct CityMetro st=""CA"", city=""San Francisco"", fips_state=""06"", fips_place=""67000"", cbsa_code=""41860"", metro_name=""San Francisco-Oakland-Fremont, CA MSA"", metro_stature=""MSA"", pop_2007=4203898, pop_2000=4123747, pop_rank=12, pop_chg_pct_00_07=1.94, pop_chg_pct_avg=0.28, pop_at_or_above=87970376, pop_aoa_pct=28.8, metro_st=""CA"", metro_nickname=""Bay Area, Northern California"", csa_name=""San Jose-San Francisco-Oakland, CA CSA"">"	732072
Colorado Springs Gazette	abstain	none								38.8338816	-104.8213634	CO	Colorado Springs	Colorado Springs Gazette	"#<struct CityMetro st=""CO"", city=""Colorado Springs"", fips_state=""08"", fips_place=""16000"", cbsa_code=""17820"", metro_name=""Colorado Springs, CO MSA"", metro_stature=""MSA"", pop_2007=609096, pop_2000=537488, pop_rank=83, pop_chg_pct_00_07=13.32, pop_chg_pct_avg=1.9, pop_at_or_above=188024674, pop_aoa_pct=61.6, metro_st=""CO"", metro_nickname=""Pikes Peak Region"", csa_name=nil>"	360890
Asheville Citizen Times	Obama	Kerry	Gore				50160			35.6009452	-82.554015	NC	Asheville	Asheville Citizen Times	"#<struct CityMetro st=""NC"", city=""Asheville"", fips_state=""37"", fips_place=""02140"", cbsa_code=""11700"", metro_name=""Asheville, NC MSA"", metro_stature=""MSA"", pop_2007=404320, pop_2000=369171, pop_rank=122, pop_chg_pct_00_07=9.52, pop_chg_pct_avg=1.36, pop_at_or_above=206893937, pop_aoa_pct=67.8, metro_st=""NC"", metro_nickname="""", csa_name=""Asheville-Brevard, NC CSA"">"	68795
Aurora Sentinel	Obama	Kerry					46000			39.7294319	-104.8319195	CO	Aurora	Aurora Sentinel	"#<struct CityMetro st=""CO"", city=""Aurora"", fips_state=""08"", fips_place=""04000"", cbsa_code=""19740"", metro_name=""Denver-Aurora, CO MSA"", metro_stature=""MSA"", pop_2007=2464866, pop_2000=2179342, pop_rank=21, pop_chg_pct_00_07=13.1, pop_chg_pct_avg=1.87, pop_at_or_above=116384170, pop_aoa_pct=38.1, metro_st=""CO"", metro_nickname=""The Front Range,Denver Metropolitan Area, Mile-High Area"", csa_name=""Denver-Aurora-Boulder, CO CSA"">"	276393
Recorder	Obama						13578			42.5875857	-72.5995339	MA	Greenfield	Recorder	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	19753
Stevens Point Journal	Obama						11234			44.5235792	-89.574563	WI	Stevens Point	Stevens Point Journal	"#<struct CityMetro st=""WI"", city=""Stevens Point"", fips_state=""55"", fips_place=""77200"", cbsa_code=""44620"", metro_name=""Stevens Point, WI uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	24408
Charleston Daily Mail			Bush	Dole	GHWBush					38.3498195	-81.6326235	WV	Charleston	Charleston Daily Mail	"#<struct CityMetro st=""WV"", city=""Charleston"", fips_state=""54"", fips_place=""14600"", cbsa_code=""16620"", metro_name=""Charleston, WV MSA"", metro_stature=""MSA"", pop_2007=303950, pop_2000=309635, pop_rank=151, pop_chg_pct_00_07=-1.84, pop_chg_pct_avg=-0.26, pop_at_or_above=217348737, pop_aoa_pct=71.2, metro_st=""WV"", metro_nickname=nil, csa_name=nil>"	50427
Record (Bergen)	Obama	Kerry	Gore	Clinton	Clinton	64	163329	163329	195525	40.8859326	-74.0434736	NJ	Hackensack	Record (Bergen)	"#<struct CityMetro st=""NJ"", city=""Hackensack"", fips_state=nil, fips_place=nil, cbsa_code=35620, metro_name=""New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"", metro_stature=""MSA"", pop_2007=18815988, pop_2000=18323002, pop_rank=1, pop_chg_pct_00_07=2.69, pop_chg_pct_avg=0.38, pop_at_or_above=18815988, pop_aoa_pct=6.2, metro_st=""NY-NJ-PA"", metro_nickname=""Greater New York, Tri-State Region"", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"	43716
Sikeston Standard Democrat				Dole						36.876719	-89.5878579	MO	Sikeston	Sikeston Standard Democrat	"#<struct CityMetro st=""MO"", city=""Sikeston"", fips_state=""29"", fips_place=""67790"", cbsa_code=""43460"", metro_name=""Sikeston, MO uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	17026
Poughkeepsie Journal	Obama	Bush	Bush				37265			41.7003713	-73.9209701	NY	Poughkeepsie	Poughkeepsie Journal	"#<struct CityMetro st=""NY"", city=""Poughkeepsie"", fips_state=""36"", fips_place=""59641"", cbsa_code=""39100"", metro_name=""Poughkeepsie-Newburgh-Middletown, NY MSA"", metro_stature=""MSA"", pop_2007=669915, pop_2000=621517, pop_rank=77, pop_chg_pct_00_07=7.79, pop_chg_pct_avg=1.11, pop_at_or_above=184209001, pop_aoa_pct=60.4, metro_st=""NY"", metro_nickname="""", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"	30345
Daily World			Bush							30.5335302	-92.081509	LA	Opelousas	Daily World	"#<struct CityMetro st=""LA"", city=""Opelousas"", fips_state=""22"", fips_place=""58045"", cbsa_code=""36660"", metro_name=""Opelousas-Eunice, LA uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	22835
Montgomery Advertiser	Obama	Kerry	Bush				45060			32.3668052	-86.2999689	AL	Montgomery	Montgomery Advertiser	"#<struct CityMetro st=""AL"", city=""Montgomery"", fips_state=""01"", fips_place=""51000"", cbsa_code=""33860"", metro_name=""Montgomery, AL MSA"", metro_stature=""MSA"", pop_2007=365962, pop_2000=346526, pop_rank=135, pop_chg_pct_00_07=5.61, pop_chg_pct_avg=0.8, pop_at_or_above=211910228, pop_aoa_pct=69.4, metro_st=""AL"", metro_nickname="""", csa_name=""Montgomery-Alexander City, AL CSA"">"	198325
Argus Leader	McCain	Bush					48960			43.5499749	-96.700327	SD	Sioux Falls	Argus Leader	"#<struct CityMetro st=""SD"", city=""Sioux Falls"", fips_state=""46"", fips_place=""59020"", cbsa_code=""43620"", metro_name=""Sioux Falls, SD MSA"", metro_stature=""MSA"", pop_2007=227171, pop_2000=187093, pop_rank=191, pop_chg_pct_00_07=21.42, pop_chg_pct_avg=3.06, pop_at_or_above=227755706, pop_aoa_pct=74.6, metro_st=""SD"", metro_nickname=""The Sioux Empire"", csa_name=nil>"	140336
Leaf Chronicle	McCain	Bush					20354			36.5297706	-87.3594529	TN	Clarksville	Leaf Chronicle	"#<struct CityMetro st=""TN"", city=""Clarksville"", fips_state=""47"", fips_place=""15160"", cbsa_code=""17300"", metro_name=""Clarksville, TN-KY MSA"", metro_stature=""MSA"", pop_2007=261816, pop_2000=232000, pop_rank=169, pop_chg_pct_00_07=12.85, pop_chg_pct_avg=1.84, pop_at_or_above=222429895, pop_aoa_pct=72.9, metro_st=""TN-KY"", metro_nickname=nil, csa_name=nil>"	111694
