2007 Pop	2000 Pop	Rank	"%Pop Chg 
2000-2007"	"Pop
%Chg/yr"	"05 Pop
at or above"	"%05 Pop
at or above"	State	Metropolitan Statistical Area	Nickname(s)	Combined Statistical Area	US Population:	"305,186,613"
149657	138904	266	7.74%	1.11%	239468925	78.5%	MT	"Billings, MT MSA"		
149279	145867	267	2.34%	0.33%	239618204	78.5%	AL	"Decatur, AL MSA"	The Heart of the Valley	"Huntsville-Decatur, AL CSA"
148875	129461	268	15.00%	2.14%	239767079	78.6%	CA	"Hanford-Corcoran, CA MSA"	Kings County	
148784	144919	269	2.67%	0.38%	239915863	78.6%	ME	"Bangor, ME MSA"		
148148	151524	271	-2.23%	-0.32%	240064011	78.7%	TX	"Wichita Falls, TX MSA"		
147038	131676	273	11.67%	1.67%	240211049	78.7%	IA	"Iowa City, IA MSA"		
146513	123109	274	19.01%	2.72%	240357562	78.8%	CA	"Madera, CA MSA"	Madera County	"Fresno-Madera, CA CSA"
145686	140052	275	4.02%	0.57%	240503248	78.8%	MO	"Jefferson City, MO MSA"		
145596	143026	276	1.80%	0.26%	240648844	78.9%	NC	"Rocky Mount, NC MSA"		
145454	153172	277	-5.04%	-0.72%	240794298	78.9%	WV-OH	"Wheeling, WV-OH MSA"		
145360	130800	278	11.13%	1.59%	240939658	78.9%	NC	"Burlington, NC MSA"		"Greensboro-Winston-Salem-High Point, NC CSA"
144995	152598	279	-4.98%	-0.71%	241084653	79.0%	PA	"Johnstown, PA MSA"		
144658	135758	280	6.56%	0.94%	241229311	79.0%	PA	"State College, PA MSA"	"Happy Valley, Centre County, Centre Region"	
143149	142950	281	0.14%	0.02%	241372460	79.1%	AL	"Florence-Muscle Shoals, AL MSA"	The Shoals	
142955	129292	282	10.57%	1.51%	241515415	79.1%	NM	"Santa Fe, NM MSA"		"Santa Fe-Espanola, NM CSA"
142794	143053	283	-0.18%	-0.03%	241658209	79.2%	IA-NE-SD	"Sioux City, IA-NE-SD MSA"	Siouxland	"Sioux City-Vermillion, IA-NE-SD CSA"
140477	144742	287	-2.95%	-0.42%	241798686	79.2%	OH	"Springfield, OH MSA"		"Dayton-Springfield-Greenville, OH CSA"
139499	130861	289	6.60%	0.94%	241938185	79.3%	AL	"Dothan, AL MSA"	The Wiregrass	"Dothan-Enterprise-Ozark, AL CSA"
139082	116255	290	19.64%	2.81%	242077267	79.3%	CO	"Grand Junction, CO MSA"	"Mesa County, Grand Valley"	
138144	123812	291	11.58%	1.65%	242215411	79.4%	MS	"Hattiesburg, MS MSA"		
136615	137985	293	-0.99%	-0.14%	242352026	79.4%	MI	"Battle Creek, MI MSA"		
134596	123081	294	9.36%	1.34%	242486622	79.5%	TN	"Morristown, TN MSA"		"Knoxville-Sevierville-La Follette, TN CSA"
134442	108685	295	23.70%	3.39%	242621064	79.5%	ID	"Coeur d'Alene, ID MSA"	Kootenai County	
134215	129749	296	3.44%	0.49%	242755279	79.5%	TX-AR	"Texarkana, TX-AR MSA"		
134043	120031	297	11.67%	1.67%	242889322	79.6%	GA	"Dalton, GA MSA"		
133791	90354	299	48.07%	6.87%	243023113	79.6%	UT	"St. George, UT MSA"	"Washington County, Dixie"	
132565	124279	300	6.67%	0.95%	243155678	79.7%	CA	"Napa, CA MSA"	Napa County	"San Jose-San Francisco-Oakland, CA CSA"
131837	112947	302	16.72%	2.39%	243287515	79.7%	FL	"Sebastian-Vero Beach, FL MSA"		"Port St. Lucie-Sebastian-Vero Beach, FL CSA"
131312	133358	303	-1.53%	-0.22%	243418827	79.8%	IN	"Anderson, IN MSA"		"Indianapolis-Anderson-Columbus, IN CSA"
131016	110765	304	18.28%	2.61%	243549843	79.8%	GA	"Warner Robins, GA MSA"		"Macon-Warner Robins-Fort Valley, GA CSA"
130926	126838	305	3.22%	0.46%	243680769	79.8%	WI-MN	"La Crosse, WI-MN MSA"		
130516	115092	306	13.40%	1.91%	243811285	79.9%	AL	"Auburn-Opelika, AL MSA"	The Plains	"Columbus-Auburn-Opelika, GA-AL CSA"
130170	119560	307	8.87%	1.27%	243941455	79.9%	GA	"Valdosta, GA MSA"		
129958	125834	308	3.28%	0.47%	244071413	80.0%	WI	"Wausau, WI MSA"		"Wausau-Merrill, WI CSA"
129798	134953	309	-3.82%	-0.55%	244201211	80.0%	MA	"Pittsfield, MA MSA"		
129570	121123	310	6.97%	1.00%	244330781	80.1%	TX	"Odessa, TX MSA"	Ector County	"Midland-Odessa, TX CSA"
128886	124345	311	3.65%	0.52%	244459667	80.1%	NY	"Glens Falls, NY MSA"		"Albany-Schenectady-Amsterdam, NY CSA"
127889	120327	314	6.28%	0.90%	244587556	80.1%	PA	"Lebanon, PA MSA"		"Harrisburg-Carlisle-Lebanon, PA CSA"
127450	116320	316	9.57%	1.37%	244715006	80.2%	AZ	"Flagstaff, AZ MSA"	Coconino County	
126408	116009	317	8.96%	1.28%	244841414	80.2%	TX	"Midland, TX MSA"	Midland County	"Midland-Odessa, TX CSA"
125679	128852	318	-2.46%	-0.35%	244967093	80.3%	OH	"Mansfield, OH MSA"		"Mansfield-Bucyrus, OH CSA"
125527	129144	319	-2.80%	-0.40%	245092620	80.3%	PA	"Altoona, PA MSA"		
123339	122336	320	0.82%	0.12%	245215959	80.3%	MO-KS	"St. Joseph, MO-KS MSA"		
122580	132008	321	-7.14%	-1.02%	245338539	80.4%	WV-OH	"Weirton-Steubenville, WV-OH MSA"		
122427	113801	322	7.58%	1.08%	245460966	80.4%	NM	"Farmington, NM MSA"	San Juan County	
121190	102997	323	17.66%	2.52%	245582156	80.5%	VA-WV	"Winchester, VA-WV MSA"		"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA"
121090	102720	324	17.88%	2.55%	245703246	80.5%	UT-ID	"Logan, UT-ID MSA"		
120279	112818	326	6.61%	0.94%	245823525	80.5%	SD	"Rapid City, SD MSA"		
119616	109391	327	9.35%	1.34%	245943141	80.6%	MD	"Salisbury, MD MSA"		"Salisbury-Ocean Pines, MD CSA"
119396	101677	329	17.43%	2.49%	246062537	80.6%	ID	"Idaho Falls, ID MSA"		"Idaho Falls-Blackfoot, ID CSA"
118675	110595	330	7.31%	1.04%	246181212	80.7%	TX	"Sherman-Denison, TX MSA"	Grayson County	"Dallas-Fort Worth, TX CSA"
117770	111200	331	5.91%	0.84%	246298982	80.7%	WV	"Morgantown, WV MSA"		
117563	108193	332	8.66%	1.24%	246416545	80.7%	VA	"Harrisonburg, VA MSA"		
116811	120044	335	-2.69%	-0.38%	246533356	80.8%	PA	"Williamsport, PA MSA"		"Williamsport-Lock Haven, PA CSA"
116402	107762	337	8.02%	1.15%	246649758	80.8%	AR	"Jonesboro, AR MSA"		"Jonesboro-Paragould, AR CSA"
116397	102979	338	13.03%	1.86%	246766155	80.9%	WA	"Mount Vernon-Anacortes, WA MSA"	Skagit County	"Seattle-Tacoma-Olympia, WA CSA"
116001	104166	339	11.36%	1.62%	246882156	80.9%	KY	"Bowling Green, KY MSA"		
115419	118769	340	-2.82%	-0.40%	246997575	80.9%	IN	"Muncie, IN MSA"		
114504	112646	342	1.65%	0.24%	247112079	81.0%	WI	"Sheboygan, WI MSA"		
113811	114996	343	-1.03%	-0.15%	247225890	81.0%	OK	"Lawton, OK MSA"	Comanche County	
113797	111663	344	1.91%	0.27%	247339687	81.0%	TX	"Victoria, TX MSA"		
113590	113329	346	0.23%	0.03%	247453277	81.1%	NC	"Goldsboro, NC MSA"		
113488	99962	348	13.53%	1.93%	247566765	81.1%	KS	"Lawrence, KS MSA"	Douglas County	
113103	112249	350	0.76%	0.11%	247679868	81.2%	AL	"Anniston-Oxford, AL MSA"		
112660	107377	352	4.92%	0.70%	247792528	81.2%	TN	"Jackson, TN MSA"		"Jackson-Humboldt, TN CSA"
112104	109875	353	2.03%	0.29%	247904632	81.2%	KY	"Owensboro, KY MSA"		
111610	107547	354	3.78%	0.54%	248016242	81.3%	KY	"Elizabethtown, KY MSA"		"Louisville-Jefferson County-Elizabethtown-Scottsburg, KY-IN CSA"
111121	104015	355	6.83%	0.98%	248127363	81.3%	TN	"Cleveland, TN MSA"		"Chattanooga-Cleveland-Athens, TN-GA CSA"
110705	103833	356	6.62%	0.95%	248238068	81.3%	IL	"Kankakee-Bradley, IL MSA"		"Chicago-Naperville-Michigan City, IL-IN-WI CSA"
109787	110106	358	-0.29%	-0.04%	248347855	81.4%	IN	"Michigan City-La Porte, IN MSA"		"Chicago-Naperville-Michigan City, IL-IN-WI CSA"
108732	114706	359	-5.21%	-0.74%	248456587	81.4%	IL	"Decatur, IL MSA"		
108085	105781	362	2.18%	0.31%	248564672	81.4%	TX	"San Angelo, TX MSA"		
107517	110157	363	-2.40%	-0.34%	248672189	81.5%	MI	"Bay City, MI MSA"	Greater Tri-Cities5	"Saginaw-Bay City-Saginaw Township North, MI CSA"
107170	99219	364	8.01%	1.14%	248779359	81.5%	WA	"Wenatchee, WA MSA"		
106815	103793	365	2.91%	0.42%	248886174	81.6%	ME	"Lewiston-Auburn, ME MSA"		"Portland-Lewiston-South Portland, ME CSA"
105773	110156	366	-3.98%	-0.57%	248991947	81.6%	VA	"Danville, VA MSA"		
105650	95802	367	10.28%	1.47%	249097597	81.6%	MT	"Missoula, MT MSA"	Missoula County	
105233	108473	368	-2.99%	-0.43%	249202830	81.7%	OH	"Lima, OH MSA"		"Lima-Van Wert-Wapakoneta, OH CSA"
103943	104646	372	-0.67%	-0.10%	249306773	81.7%	SC	"Sumter, SC MSA"		
103242	94719	373	9.00%	1.29%	249410015	81.7%	ND	Bismarck-Mandan MSA	North Dakota's Sister Cities	
103217	103459	374	-0.23%	-0.03%	249513232	81.8%	AL	"Gadsden, AL MSA"		
101792	93044	375	9.40%	1.34%	249615024	81.8%	GA	"Brunswick, GA MSA"		
101484	107341	377	-5.46%	-0.78%	249716508	81.8%	AR	"Pine Bluff, AR MSA"		"Little Rock-North Little Rock-Pine Bluff, AR CSA"
101055	96501	380	4.72%	0.67%	249817563	81.9%	NY	"Ithaca, NY MSA"		"Ithaca-Cortland, NY CSA"
100467	92948	383	8.09%	1.16%	249918030	81.9%	WA	"Longview, WA MSA"	Cowlitz County	
99845	101541	385	-1.67%	-0.24%	250017875	81.9%	IN	"Kokomo, IN MSA"		"Kokomo-Peru, IN CSA"
99316	102008	387	-2.64%	-0.38%	250117191	82.0%	MD-WV	"Cumberland, MD-WV MSA"		
99124	97296	388	1.88%	0.27%	250216315	82.0%	WI	"Fond du Lac, WI MSA"		"Fond du Lac-Beaver Dam, WI CSA"
97691	97478	393	0.22%	0.03%	250314006	82.0%	ND-MN	"Grand Forks, ND-MN MSA"	"Grand Cities, Greater Grand Forks"	
97484	82840	394	17.68%	2.53%	250411490	82.1%	AK	"Fairbanks, AK MSA"	Fairbanks North Star Borough	
96422	102326	397	-5.77%	-0.82%	250507912	82.1%	NJ	"Ocean City, NJ MSA"		
96371	88068	398	9.43%	1.35%	250604283	82.1%	AR	"Hot Springs, AR MSA"	Garland County	
95618	90565	399	5.58%	0.80%	250699901	82.1%	GA	"Rome, GA MSA"		
92359	89143	403	3.61%	0.52%	250792260	82.2%	IA	"Dubuque, IA MSA"		
