head,pos,lemma,freq,disp,freq_sp,freq_wr,tag,head_orig,tag_lemma
sacred,Adj,sacred,13,0.9,,,sacred_Adj,sacred,sacred_Adj_sacred
treat,Verb,treating,13,0.95,,,treat_Verb,treat,treat_Verb_treating
request,NoC,requests,13,0.91,,,request_NoC,request,request_NoC_requests
ambition,NoC,ambition,13,0.94,,,ambition_NoC,ambition,ambition_NoC_ambition
useless,Adj,useless,13,0.94,,,useless_Adj,useless,useless_Adj_useless
protein,NoC,proteins,13,0.71,,,protein_NoC,protein,protein_NoC_proteins
Joyce,NoP,Joyce,13,0.73,,,Joyce_NoP,Joyce,Joyce_NoP_Joyce
remedy,NoC,remedy,13,0.78,,,remedy_NoC,remedy,remedy_NoC_remedy
serum,NoC,serum,13,0.49,,,serum_NoC,serum,serum_NoC_serum
yep,Int,yep,13,0.68,,,yep_Int,yep,yep_Int_yep
commitment,NoC,commitments,13,0.92,,,commitment_NoC,commitment,commitment_NoC_commitments
clause,NoC,clauses,13,0.66,,,clause_NoC,clause,clause_NoC_clauses
Carter,NoP,Carter,13,0.85,,,Carter_NoP,Carter,Carter_NoP_Carter
ingredient,NoC,ingredients,13,0.9,,,ingredient_NoC,ingredient,ingredient_NoC_ingredients
favour,Verb,favoured,13,0.92,,,favour_Verb,favour,favour_Verb_favoured
qualification,NoC,qualification,13,0.88,,,qualification_NoC,qualification,qualification_NoC_qualification
occur,Verb,occurring,13,0.91,4,14,occur_Verb,occur,occur_Verb_occurring
1939,Num,1939,13,0.87,,,1939_Num,1939,1939_Num_1939
consist,Verb,consisting,13,0.91,,,consist_Verb,consist,consist_Verb_consisting
feature,Verb,featured,13,0.91,,,feature_Verb,feature,feature_Verb_featured
parental,Adj,parental,13,0.86,,,parental_Adj,parental,parental_Adj_parental
defensive,Adj,defensive,13,0.94,,,defensive_Adj,defensive,defensive_Adj_defensive
phrase,NoC,phrases,13,0.91,,,phrase_NoC,phrase,phrase_NoC_phrases
diverse,Adj,diverse,13,0.92,,,diverse_Adj,diverse,diverse_Adj_diverse
head,Verb,head,13,0.94,,,head_Verb,head,head_Verb_head
£100,NoC,£100,13,0.89,,,&pound;100_NoC,&pound;100,&pound;100_NoC_&pound;100
dignity,NoC,dignity,13,0.93,,,dignity_NoC,dignity,dignity_NoC_dignity
interior,Adj,interior,13,0.77,,,interior_Adj,interior,interior_Adj_interior
in touch with,Prep,in touch with,13,0.95,,,in touch with_Prep,in touch with,in touch with_Prep_in touch with
ltd,Adj,ltd.,13,0.46,,,ltd_Adj,ltd,ltd_Adj_ltd.
printed,Adj,printed,13,0.9,,,printed_Adj,printed,printed_Adj_printed
nest,NoC,nest,13,0.86,,,nest_NoC,nest,nest_NoC_nest
fortunate,Adj,fortunate,13,0.95,,,fortunate_Adj,fortunate,fortunate_Adj_fortunate
contempt,NoC,contempt,13,0.88,,,contempt_NoC,contempt,contempt_NoC_contempt
brand,NoC,brand,13,0.91,,,brand_NoC,brand,brand_NoC_brand
flame,NoC,flames,13,0.89,,,flame_NoC,flame,flame_NoC_flames
block,Verb,blocked,13,0.95,,,block_Verb,block,block_Verb_blocked
characteristic,NoC,characteristic,13,0.9,,,characteristic_NoC,characteristic,characteristic_NoC_characteristic
persistent,Adj,persistent,13,0.93,,,persistent_Adj,persistent,persistent_Adj_persistent
negotiate,Verb,negotiate,13,0.92,,,negotiate_Verb,negotiate,negotiate_Verb_negotiate
worthy,Adj,worthy,13,0.95,,,worthy_Adj,worthy,worthy_Adj_worthy
calcium,NoC,calcium,13,0.74,,,calcium_NoC,calcium,calcium_NoC_calcium
in short,Adv,in short,13,0.87,,,in short_Adv,in short,in short_Adv_in short
powder,NoC,powder,13,0.92,,,powder_NoC,powder,powder_NoC_powder
eligible,Adj,eligible,13,0.9,,,eligible_Adj,eligible,eligible_Adj_eligible
monster,NoC,monster,13,0.88,,,monster_NoC,monster,monster_NoC_monster
qualify,Verb,qualified,13,0.93,,,qualify_Verb,qualify,qualify_Verb_qualified
interpret,Verb,interpret,13,0.92,,,interpret_Verb,interpret,interpret_Verb_interpret
M,NoP,M,13,0.63,,,M_NoP,M,M_NoP_M
lorry,NoC,lorry,13,0.89,,,lorry_NoC,lorry,lorry_NoC_lorry
stroke,NoC,stroke,13,0.93,,,stroke_NoC,stroke,stroke_NoC_stroke
raid,NoC,raid,13,0.87,,,raid_NoC,raid,raid_NoC_raid
ladder,NoC,ladder,13,0.92,,,ladder_NoC,ladder,ladder_NoC_ladder
novel,NoC,novels,13,0.85,,,novel_NoC,novel,novel_NoC_novels
black,NoC,black,13,0.93,,,black_NoC,black,black_NoC_black
diameter,NoC,diameter,13,0.85,,,diameter_NoC,diameter,diameter_NoC_diameter
lay,Verb,laying,13,0.95,,,lay_Verb,lay,lay_Verb_laying
launch,Verb,launch,13,0.9,,,launch_Verb,launch,launch_Verb_launch
behalf,NoC,behalf,13,0.95,,,behalf_NoC,behalf,behalf_NoC_behalf
molecular,Adj,molecular,13,0.79,,,molecular_Adj,molecular,molecular_Adj_molecular
publish,Verb,publish,13,0.92,,,publish_Verb,publish,publish_Verb_publish
crash,Verb,crashed,13,0.87,,,crash_Verb,crash,crash_Verb_crashed
olympic,Adj,olympic,13,0.81,,,olympic_Adj,olympic,olympic_Adj_olympic
direct,Verb,direct,13,0.93,,,direct_Verb,direct,direct_Verb_direct
Betty,NoP,Betty,13,0.62,,,Betty_NoP,Betty,Betty_NoP_Betty
spot,Verb,spotted,13,0.91,,,spot_Verb,spot,spot_Verb_spotted
mathematical,Adj,mathematical,13,0.85,,,mathematical_Adj,mathematical,mathematical_Adj_mathematical
so long as,Conj,so long as,13,0.93,,,so long as_Conj,so long as,so long as_Conj_so long as
damage,Verb,damage,13,0.91,,,damage_Verb,damage,damage_Verb_damage
