

GCT-PH1: Population, Housing Units, Area, and Density:  2000
Data Set: Census 2000 Summary File 1 (SF 1) 100-Percent Data
Geographic Area: United States -- County by State, and for Puerto Rico
"NOTE:  For information on confidentiality protection, nonsampling error, definitions, and count corrections see http://factfinder.census.gov/home/en/datanotes/expsf1u.htm.
 
"
"Geographic area","
Population","
Housing
 units","
Area in square miles",,,"
Density per square
mile of land area",
,,,"
Total
area","
Water
area","
Land
area","
Population","
Housing
 units"
" "," "," "," "," "," "," "," "
"Hernando County","130,802","62,727","589.08","110.77","478.31","273.5","131.1"
"Highlands County","87,366","48,846","1,106.28","78.01","1,028.27","85.0","47.5"
"Hillsborough County","998,948","425,962","1,266.22","215.31","1,050.91","950.6","405.3"
"Holmes County","18,564","7,998","488.71","6.26","482.45","38.5","16.6"
"Indian River County","112,947","57,902","616.92","113.69","503.23","224.4","115.1"
"Jackson County","46,755","19,490","954.58","38.94","915.64","51.1","21.3"
"Jefferson County","12,902","5,251","636.65","38.91","597.74","21.6","8.8"
"Lafayette County","7,022","2,660","547.92","5.08","542.84","12.9","4.9"
"Lake County","210,528","102,830","1,156.40","203.25","953.15","220.9","107.9"
"Lee County","440,888","245,405","1,211.89","408.26","803.63","548.6","305.4"
"Leon County","239,452","103,974","701.78","35.04","666.74","359.1","155.9"
"Levy County","34,450","16,570","1,412.32","293.94","1,118.38","30.8","14.8"
"Liberty County","7,021","3,156","843.16","7.29","835.87","8.4","3.8"
"Madison County","18,733","7,836","715.80","24.00","691.79","27.1","11.3"
"Manatee County","264,002","138,128","892.75","151.72","741.03","356.3","186.4"
"Marion County","258,916","122,663","1,663.01","84.15","1,578.86","164.0","77.7"
"Martin County","126,731","65,471","752.79","197.18","555.62","228.1","117.8"
"Miami-Dade County","2,253,362","852,278","2,431.26","485.19","1,946.06","1,157.9","437.9"
"Monroe County","79,589","51,617","3,737.15","2,740.24","996.91","79.8","51.8"
"Nassau County","57,663","25,917","725.86","74.30","651.55","88.5","39.8"
"Okaloosa County","170,498","78,593","1,082.00","146.37","935.63","182.2","84.0"
"Okeechobee County","35,910","15,504","891.57","117.63","773.94","46.4","20.0"
"Orange County","896,344","361,349","1,004.19","96.74","907.45","987.8","398.2"
"Osceola County","172,493","72,293","1,506.35","184.45","1,321.90","130.5","54.7"
"Palm Beach County","1,131,184","556,428","2,386.33","412.22","1,974.11","573.0","281.9"
"Pasco County","344,765","173,717","867.95","123.10","744.85","462.9","233.2"
"Pinellas County","921,482","481,573","607.67","327.75","279.92","3,292.0","1,720.4"
"Polk County","483,924","226,376","2,009.99","135.60","1,874.38","258.2","120.8"
"Putnam County","70,423","33,870","827.16","105.27","721.89","97.6","46.9"
"St. Johns County","123,135","58,008","821.43","212.42","609.01","202.2","95.2"
"St. Lucie County","192,695","91,262","688.08","115.63","572.45","336.6","159.4"
"Santa Rosa County","117,743","49,119","1,173.57","156.65","1,016.93","115.8","48.3"
"Sarasota County","325,957","182,467","725.18","153.63","571.55","570.3","319.2"
"Seminole County","365,196","147,079","344.87","36.67","308.20","1,184.9","477.2"
"Sumter County","53,345","25,195","580.31","34.58","545.73","97.7","46.2"
"Suwannee County","34,844","15,679","691.90","4.26","687.64","50.7","22.8"
"Taylor County","19,256","9,646","1,232.01","190.10","1,041.91","18.5","9.3"
"Union County","13,442","3,736","249.71","9.42","240.29","55.9","15.5"
"Volusia County","443,343","211,938","1,432.44","329.19","1,103.25","401.9","192.1"
"Wakulla County","22,863","9,820","735.74","129.08","606.66","37.7","16.2"
"Walton County","40,601","29,083","1,238.03","180.47","1,057.56","38.4","27.5"
"Washington County","20,973","9,503","615.79","35.86","579.93","36.2","16.4"
" "," "," "," "," "," "," "," "
"Georgia","8,186,453","3,281,737","59,424.77","1,518.63","57,906.14","141.4","56.7"
"Appling County","17,419","7,854","512.11","3.61","508.51","34.3","15.4"
"Atkinson County","7,609","3,171","344.10","6.05","338.04","22.5","9.4"
"Bacon County","10,103","4,464","285.92","0.97","284.95","35.5","15.7"
"Baker County","4,074","1,740","349.17","5.95","343.22","11.9","5.1"
"Baldwin County","44,700","17,173","267.50","9.05","258.45","173.0","66.4"
"Banks County","14,422","5,808","233.87","0.20","233.67","61.7","24.9"
"Barrow County","46,144","17,304","162.84","0.67","162.17","284.5","106.7"
"Bartow County","76,019","28,751","470.11","10.69","459.43","165.5","62.6"
"Ben Hill County","17,484","7,623","254.03","2.23","251.79","69.4","30.3"
"Berrien County","16,235","7,100","457.78","5.37","452.41","35.9","15.7"
"Bibb County","153,887","67,194","255.13","5.17","249.96","615.6","268.8"
"Bleckley County","11,666","4,866","219.14","1.74","217.39","53.7","22.4"
"Brantley County","14,629","6,490","447.42","3.02","444.40","32.9","14.6"
"Brooks County","16,450","7,118","497.77","4.15","493.62","33.3","14.4"
"Bryan County","23,417","8,675","454.49","12.78","441.71","53.0","19.6"
"Bulloch County","55,983","22,742","688.84","6.77","682.07","82.1","33.3"
"Burke County","22,243","8,842","834.99","4.52","830.47","26.8","10.6"
"Butts County","19,522","7,380","190.01","3.40","186.61","104.6","39.5"
"Calhoun County","6,320","2,305","283.57","3.39","280.18","22.6","8.2"
"Camden County","43,664","16,958","782.52","152.61","629.91","69.3","26.9"
"Candler County","9,577","3,893","248.81","1.94","246.88","38.8","15.8"
"Carroll County","87,268","34,067","503.83","4.89","498.93","174.9","68.3"
"Catoosa County","53,282","21,794","162.66","0.44","162.23","328.4","134.3"
"Charlton County","10,282","3,859","782.97","2.20","780.77","13.2","4.9"
"Chatham County","232,048","99,683","632.28","194.17","438.11","529.7","227.5"
"Chattahoochee County","14,882","3,316","251.17","2.40","248.77","59.8","13.3"
"Chattooga County","25,470","10,677","313.55","0.23","313.33","81.3","34.1"
"Cherokee County","141,903","51,937","433.99","10.31","423.68","334.9","122.6"
"Clarke County","101,489","42,126","121.28","0.49","120.79","840.2","348.8"
"Clay County","3,357","1,925","216.99","21.79","195.21","17.2","9.9"
"Clayton County","236,517","86,461","144.28","1.66","142.62","1,658.4","606.2"
"Clinch County","6,878","2,837","824.17","14.88","809.29","8.5","3.5"
"Cobb County","607,751","237,522","344.51","4.36","340.15","1,786.7","698.3"
