===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
Kentucky	185.20	185.20	-	-	-	Louisville, Frankfort, Lexington, Winchester, Mount Sterling, Moreland	
West Virginia	188.75	124.87	-	-	63.88 Mi on I-77	Huntington, Charleston, Beckley, White Sulpher Springs	
Virginia	297.62	267.22	-	-	30.40 Mi on I-81	Covington, Clifton Forge, Lexington, Staunton, Waynesboro, Charlottesville, Richmond, Williamsburg, Newport News, Hampton, Norfolk	
TOTAL	937.71	839.29	-	14.69	98.42		
I-65	Alabama	367.00	367.00	-	-	-	Mobile, Greenville, Montgomery, Clanton, Birmingham, Cullman, Decatur, Athens
Tennessee	121.71	120.71	-	-	1.00 Mi on I-40	Nashville	
Kentucky	137.32	137.32	-	-	-	Bowling Green, Elizabethtown, Louisville	
Indiana	261.27	261.27	-	-	-	New Albany, Seymour, Columbus, Franklin, Indianapolis, Lebanon, LaFayette, Gary	
TOTAL	887.30	886.30	-	-	1.00		
I-66	Virginia	74.80	74.80	-	-	-	Front Royal, Manassas, Fairfax, Vienna, Falls Church, Arlington
District of Columbia	1.48	1.48	-	-	-	Washington, D.C.	
TOTAL	76.28	76.28					
I-68	West Virginia	32.06	32.06	-	32.06	-	Morgantown
Maryland	81.09	81.09	-	81.09	-	Cumberland	
TOTAL	113.15	113.15	-	113.15	-		
I-69	Indiana	157.3	157.3	-	-	-	Indianapolis, Anderson, Muncie, Fort Wayne
Michigan	198.51	193.31	-	66.8	5.20 Mi on I-96	Coldwater, Battle Creek, Lansing, Flint	
TOTAL	355.81	350.61	-	66.8	5.20		
I-70	Utah	232.15	232.15	-	-	-	Cove Fort, Richfield, Green River
Colorado	451.04	451.04	-	-	-	Grand Junction, Denver	
Kansas	424.15	424.15	-	-		Goodland, Hays, Russell, Salina, Abilene, Junction City, Topeka, Lawrence, Kansas City	
Missouri	251.66	251.66	-	-	-	Kansas City, Boonville, Columbia, Saint Louis	
Illinois	135.94	135.94	-	-	-	East Saint Louis, Vandalia, Effingham	
Indiana	156.6	154.47	-	-	2.13 Mi on I-65	Terre Haute, Indianapolis, Richmond	
Ohio	225.6	225.6	-	-	-	Springfield, Columbus, Zanesville, Cambridge	
West Virginia	14.45	14.45	-	-	-	Wheeling	
Pennsylvania	167.92	80.7	-	-	87.22 Mi on I-76	Washington, Monessen-Charleroi, Breezewood	
Maryland	93.62	93.62	-	-	-	Hancock, Hagerstown, Frederick, Baltimore	
TOTAL	2,153.13	2,063.78	-	-	89.35		
I-71	Kentucky	97.42	77.72	-	-	19.70 Mi on I-75	Louisville, Covington
Ohio	248.15	246.19	-	-	0.22 Mi on I-75 & 1.74 Mi on I-70	Cincinnati, Columbus, Mansfield, Cleveland	
TOTAL	345.57	323.91	-	-	21.66		
I-72	Illinois	177.25	177.25	-	99.10	-	Springfield, Decatur,
Missouri	2.04	2.04	-	2.04	-		
TOTAL	179.29	179.29	-	101.14	-		
I-73*	N. Carolina	12.27	12.27	-	12.27		Greensboro
I-74	Iowa	5.36	5.36	-	-	-	Davenport
Illinois	220.34	214.45	-	-	5.89 Mi on I-55	Moline, Galesburg, Peoria, Bloomington, Champaign-Urbana, Danville	
N. Carolina	12.10	12.10	-	12.10		Greensboro	
Indiana	171.54	150.94	-	-	20.60 Mi on I-465	Crawfordsville, Indianapolis, Shelbyville, Greensburg	
Ohio	19.47	19.47	-	-	-	Cincinnati	
TOTAL	428.81	402.32	-	12.10	26.49		
I-75	Florida	470.88	470.88	46.31	-	-	Miami, Naples, Fort Myers, Port Charlotte, Venice, Sarasota, Bradenton, Tampa, Ocala, Gainesville, Lake City
Georgia	355.11	355.11	-	-	-	Valdosta, Tifton, Cordele, Macon, Atlanta, Marietta, Cartersville, Dalton	
Tennessee	161.86	142.26	-	-	19.60 Mi on I-40	Chattanooga, Cleveland, Athens, Lenoir City, Knoxville	
Kentucky	191.78	191.78	-	-	-	Corbin, Richmond, Lexington, Covington	
Ohio	211.3	211.3	-	-	-	Cincinnati, Middletown, Dayton, Piqua, Sidney, Lima, Findlay, Bowling Green, Toledo	
Michigan	395.54	395.54	-	-	-	Monroe, Detroit, Pontiac, Flint, Saginaw, Bay City, Mackinaw City, Sault Sainte Marie	
TOTAL	1,786.47	1,766.87	46.31	-	26.50		
I-76	Colorado	184.86	184.86	-	-	-	Denver, Fort Morgan, Sterling
Nebraska	2.48	2.48	-	-	-	None	
Ohio	81.65	81.65	-	-	-	Akron, Youngstown	
Pennsylvania	349.67	349.67	-	-	-	Pittsburgh, Monroeville, Somerset, Breezewood, Carlisle, Harrisburg, Philadelphia	
New Jersey	3.04	3.04	-	-	-	Camden	
TOTAL	621.7	621.7					
I-77	S.Carolina	91.05	91.05	-	9.5	-	Columbia, Rock Hill
N. Carolina	102.31	102.31	-	5.8	-	Charlotte, Mooresville, Statesville	
Virginia	69.4	60.6	-	-	8.80 Mi on I-81	Wytheville, Bluefield	
West Virginia	187.21	187.21	-	-	-	Bluefield, Princeton, Beckley, Charleston, Parkersburg	
Ohio	160.13	160.13	-	-	-	Marietta, Dover, Canton, Akron, Cleveland	
TOTAL	610.10	601.30	-	15.30	8.80		
I-78	Pennsylvania	75.23	75.23	-	-	-	Allentown, Bethlehem, Easton
New Jersey	67.83	67.83	-	-	-	Plainfield, Irvington, Newark, Jersey City	
New York	0.5	0.5	-	-	-	New York City	
TOTAL	143.56	143.56					
I-79	West Virginia	160.52	160.52	-	-	-	Charleston, Weston, Clarksburg, Fairmont, Morgantown
Pennsylvania	182.72	179.17	-	-	3.55 Mi on I-70	Washington, Pittsburgh, Meadville, Erie	
TOTAL	343.24	339.69	-	-	3.55		
I-80	California	199.24	199.24	-	-	-	San Francisco, Oakland, El Cerrito, Pinole, Vallejo, Fairfield, Vacaville, Davis, Sacramento, Auburn
Nevada	410.67	410.67	-	-	-	Reno, Sparks, Winnemucca, Elko	
Utah	196.34	193.03	-	-	3.31 Mi on I-15	Salt Lake City	
Wyoming	402.76	402.76	-	-	-	Evanston, Rock Springs, Rawlings, Laramie, Cheyenne	
Nebraska	455.32	455.32	-	-	-	Sidney, Ogallala, N. Platte, Lexington, Kearney, Grand Island, York, Lincoln, Omaha	
Iowa	303.23	288.94	-	-	14.29 Mi on I-35	Council Bluffs, Des Moines, Newton, Iowa City, Davenport	
Illinois	163.52	163.52	-	-	-	Moline, Genesco, Princeton, La Salle, Ottawa, Morris, Joliet, Chicago	
Indiana	151.56	151.56	-	-	-	Hammond, Gary, South Bend, Elkhart	
Ohio	237.48	237.48	-	35	-	Toledo, Elyria, Cleveland, Youngstown	
Pennsylvania	311.07	311.07	-	-	-	Sharon, Clarion, Dubois, Milton, Bloomsburg, Stroudsburg	
New Jersey	68.35	68.35	-	-	-	Paterson, Hackensack, Teaneck	
TOTAL	2,899.54	2,881.94	-	35.00	17.60		
I-81	Tennessee	75.66	75.66	-	-	-	Morristown, Kingsport, Johnson City, Bristol
Virginia	324.92	324.92	-	-	-	Bristol, Marion, Wytheville, Christiansburg, Roanoke, Lexington, Staunton, Harrisonburg, Winchester	
