
City  							Mileage		
Red Oak, IA					976
Red Wing, MN					1,205
Reedsport, OR					812
Regina, Saskatchewan, Canada			954
Reno, NV					555
Richfield, UT					230
Richfield, UT to Aurora, UT			14
Richfield, UT to Axtell, UT			25
Richfield, UT to Bicknell, UT			53
Richfield, UT to Cedar City, UT			115
Richfield, UT to Circleville, UT		58
Richfield, UT to Cove Fort, UT			60
Richfield, UT to Delta, UT			86
Richfield, UT to Fillmore, UT			66
Richfield, UT to Gunnison, UT			29
Richfield, UT to Hanksville, UT			120
Richfield, UT to Junction, UT			48
Richfield, UT to Kingston, UT			50
Richfield, UT to Loa, UT			45
Richfield, UT to Manti, UT			43
Richfield, UT to Marysvale, UT			32
Richfield, UT to Mt. Pleasant, UT		67
Richfield, UT to Minersville, UT		81
Richfield, UT to Panquitch, UT			80
Richfield, UT to Salina, UT			18
Richfield, UT to Scipio, UT			45
Richfield, UT to Sigurd, UT			8
Richfield, UT to Vernal, UT			236
Richmond, IN					1,566
Richmon, UT					13
Richmond, VA					2,105
Riverhead, Long Island, NY			2,245
Riverside, CA					727
Riverton School, Logan, UT			2
Riverton, UT					99
Riverton, WY					320
Roanoke, VA					1,982
Rochester, MN					1,188
Rochester, NH					2,362
Rochester, NY					1,969
Rochester, PA					1,803
Rockford, IL					1,337
Rock Springs, WY				179
Rocky Mt., NC					2,158
Rolla, MO					1,280
Rome, GA					1,804
Roosevelt, UT to Altamount, UT			21
Roosevelt, UT to Cedar View, UT			38
Roosevelt, UT to Coyote Basin, UT		29
Roosevelt, UT to Deep Creek, UT			35
Roosevelt, UT to Dry Gulch, UT			32
Roosevelt, UT to Duchesne, UT			29
Roosevelt, UT to Ferron, UT			135
Roosevelt, UT to Ft. Duchesne, UT		8
Roosevelt, UT to Fruitland, UT			54
Roosevelt, UT to Green Lake, UT			69
Roosevelt, UT to Heber, UT			99
Roosevelt, UT to Hill Creek, UT			112
Roosevelt, UT to Independence, UT		13
Roosevelt, UT to Manila, UT			103
Roosevelt, UT to Mountain Home, UT		31
Roosevelt, UT to Naples, UT			33
Roosevelt, UT to Neola, UT			10
Roosevelt, UT to Price, UT			85
Roosevelt, UT to Provo, UT			129
Roosevelt, UT to Salt Lake City, UT		143
Roosevelt, UT to Tooele, UT			170
Roosevelt, UT to Utahn, UT			94
Roosevelt, UT to Vernal, UT			30
Roswell, NM					877
Roy, UT						48
Roy, UT to Morgan, UT				19
Rupert, ID					153

Sacramento, CA					688
Saginaw, MI					1,664
St. Anthony, ID					183
St. Augustine, FL				2,196
St. Cloud, MN					1,173
St. George, UT					392
St. George, UT to Delta, UT			149
St. George, UT to Ephraim, UT			223
St. George, UT to Hurricane, UT			18
St. George, UT to Loa, UT			186
St. George, UT to Marysvale, UT			162
St. George, UT to Meadow, UT			158
St. George, UT to Minersville, UT		86
St. George, UT to New Castle, UT		47
St. George, UT to Orderville, UT		77
St. George, UT to Rockville, UT			42
St. George, UT to Toquerville, UT		24
St. Louis, MO					1,326
St. Paul, MN					1,190
St. Petersburg, FL				2,310
Salem, OR					736
Salida, CO					557
Salina, KS					933
Salina, UT to Castle Dale, UT			75
Salina, UT to Delta, UT				71
Salina, UT to Fillmore, UT			54
Salina, UT to Gunnison, UT			14
Salina, UT to Panquitch, UT			95
Salina, UT to Richfield, UT			15
