id	freq	dec_entity	alpha_entity	scr_code	pl_name
479	0000000001	&#479;	&#479;	Latin	Latn
481	0000000001	&#481;	&#481;	Latin	Latn
483	0000000006	&#483;	&#483;	Latin	Latn
484	0000000001	&#484;	&#484;	Latin	Latn
487	0000000001	&#487;	&#487;	Latin	Latn
489	0000000001	&#489;	&#489;	Latin	Latn
491	0000000005	&#491;	&#491;	Latin	Latn
492	0000000001	&#492;	&#492;	Latin	Latn
493	0000000001	&#493;	&#493;	Latin	Latn
496	0000000004	&#496;	&#496;	Latin	Latn
498	0000000001	&#498;	&#498;	Latin	Latn
501	0000000002	&#501;	&#501;	Latin	Latn
502	0000000001	&#502;	&#502;	Latin	Latn
503	0000000001	&#503;	&#503;	Latin	Latn
504	0000000004	&#504;	&#504;	Latin	Latn
505	0000000002	&#505;	&#505;	Latin	Latn
506	0000000005	&#506;	&#506;	Latin	Latn
507	0000000005	&#507;	&#507;	Latin	Latn
508	0000000006	&#508;	&#508;	Latin	Latn
509	0000000005	&#509;	&#509;	Latin	Latn
510	0000000051	&#510;	&#510;	Latin	Latn
511	0000000003	&#511;	&#511;	Latin	Latn
512	0000000002	&#512;	&#512;	Latin	Latn
513	0000000005	&#513;	&#513;	Latin	Latn
514	0000000039	&#514;	&#514;	Latin	Latn
515	0000000059	&#515;	&#515;	Latin	Latn
516	0000000001	&#516;	&#516;	Latin	Latn
517	0000000001	&#517;	&#517;	Latin	Latn
523	0000000001	&#523;	&#523;	Latin	Latn
524	0000000003	&#524;	&#524;	Latin	Latn
529	0000000002	&#529;	&#529;	Latin	Latn
530	0000000002	&#530;	&#530;	Latin	Latn
536	0000000022	&#536;	&#536;	Latin	Latn
537	0000000493	&#537;	&#537;	Latin	Latn
538	0000000010	&#538;	&#538;	Latin	Latn
539	0000000356	&#539;	&#539;	Latin	Latn
541	0000000002	&#541;	&#541;	Latin	Latn
543	0000000002	&#543;	&#543;	Latin	Latn
544	0000000004	&#544;	&#544;	Latin	Latn
545	0000000014	&#545;	&#545;	Latin	Latn
546	0000000001	&#546;	&#546;	Latin	Latn
548	0000000001	&#548;	&#548;	Latin	Latn
549	0000000008	&#549;	&#549;	Latin	Latn
552	0000000003	&#552;	&#552;	Latin	Latn
555	0000000004	&#555;	&#555;	Latin	Latn
557	0000000001	&#557;	&#557;	Latin	Latn
558	0000000001	&#558;	&#558;	Latin	Latn
560	0000000004	&#560;	&#560;	Latin	Latn
564	0000000001	&#564;	&#564;	Latin	Latn
567	0000000002	&#567;	&#567;	Latin	Latn
569	0000000001	&#569;	&#569;	Latin	Latn
570	0000000007	&#570;	&#570;	Latin	Latn
571	0000000002	&#571;	&#571;	Latin	Latn
572	0000000001	&#572;	&#572;	Latin	Latn
573	0000000001	&#573;	&#573;	Latin	Latn
574	0000000001	&#574;	&#574;	Latin	Latn
575	0000000001	&#575;	&#575;	Latin	Latn
